atomic_id,location,exact_atomic_proposition,claim_class,importance,scope_and_qualifiers,warrant_pointer,independent_check,status,release_action
AC-092,Evaluation design; source lines 97-97,"We use the 1,797 handwritten digit images bundled with scikit-learn [cited source].",literature,supporting,No component-priority claim; one unverified candidate donor was excluded.,current bibliography plus live identity audit dated 2026-08-28,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-093,Evaluation design; source lines 97-97,Images contain 64 pixel values and labels 0--9.,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-094,Evaluation design; source lines 97-97,Five-fold stratified cross-validation is shuffled with a fixed seed.,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-095,Evaluation design; source lines 97-97,Standardization and all models are fitted on each training fold only,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-096,Evaluation design; source lines 99-99,A multinomial logistic model predicts parity.,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-097,Evaluation design; source lines 99-99,Its two class probabilities form the stored compact state.,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-098,Evaluation design; source lines 99-99,A second logistic model predicts exact identity from all 64 standardized pixels.,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-099,Evaluation design; source lines 99-99,A hostile compact decoder receives only the two parity probabilities and predicts exact identity.,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-100,Evaluation design; source lines 99-99,Each test item is queried under two responsibilities: parity and exact digit.,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-101,Evaluation design; source lines 99-99,"This yields 3,594 responsibility episodes per policy arm and 17,970 policy-episode evaluations across five arms",empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-102,Evaluation design; source lines 101-108,The arms are: unqualified reuse: use compact state for both responsibilities,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-103,Evaluation design; source lines 101-108,"confidence only: reuse compact state when maximum parity probability is at least 0.90, otherwise reopen raw state",empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-104,Evaluation design; source lines 101-108,provenance only: reuse because provenance is current in every episode,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-105,Evaluation design; source lines 101-108,always raw: read all 64 values for both responsibilities,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-106,Evaluation design; source lines 101-108,responsibility relative: reuse the two-value state for parity and reopen 64 values for exact identity,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-107,Evaluation design; source lines 110-110,"Per episode, compact reuse counts two state values and raw use counts 64.",empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-108,Evaluation design; source lines 110-110,Model training and coefficient counts are reported separately in the review data and are not treated as free.,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-109,Evaluation design; source lines 110-110,The headline comparison concerns post-construction service of the two requests.,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-110,Evaluation design; source lines 110-110,"The main outcomes are task accuracy, unsupported exact-digit reuse, mean state values read, and reopen rate",empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-111,Evaluation design; source lines 112-112,Verifier-backed responsibility and epoch change,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-112,Evaluation design; source lines 114-114,Twelve finite Boolean-formula cases are frozen before evaluation.,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-113,Evaluation design; source lines 114-114,"Each base formula fixes four of five variables and leaves one free, so exactly two assignments satisfy it.",empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-114,Evaluation design; source lines 114-114,A previously verified assignment is valid for the old responsibility.,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-115,Evaluation design; source lines 114-114,"A new unit clause changes the responsibility and epoch, invalidates that assignment, and leaves exactly one satisfying alternative",empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-116,Evaluation design; source lines 116-116,"Every arm serves an old and a changed episode, for 24 episodes per arm.",empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-117,Evaluation design; source lines 116-116,Responsibility-relative and always-raw policies solve the changed formula,empirical_or_finite_result,headline,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-118,Evaluation design; source lines 116-116,confidence-only and provenance-only policies reuse the old assignment.,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-119,Evaluation design; source lines 116-116,Literal reads count the clauses examined.,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-120,Evaluation design; source lines 116-116,"A separate implementation derives the exact model counts, expected correctness, stale reuse, and literal reads without importing the primary search procedure",empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-121,Evaluation design; source lines 118-118,Provenance-tiered comparison,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-122,Evaluation design; source lines 120-120,"The 48-case comparison crosses four cells: supported/current, changed/current, supported/stale, and changed/stale.",empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-123,Evaluation design; source lines 120-120,Each cell has 12 finite formulas.,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-124,Evaluation design; source lines 120-120,"Two provenance-tiered arms use currentness, grounding, and demand grade to decide whether compact state may be served.",empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-125,Evaluation design; source lines 120-120,The responsibility-relative arm adds an explicit requested-obligation support test,empirical_or_finite_result,headline,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-126,Evaluation design; source lines 120-120,a composed arm combines both coordinates.,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-127,Evaluation design; source lines 120-120,Always-raw reads the full current formula,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-128,Evaluation design; source lines 122-122,"This is an implementation-level comparator inspired by provenance-aware memory and evidence-tracing work, not a reproduction of a deployed agent-memory system.",empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-129,Evaluation design; source lines 122-122,The changed/current cell is deliberately discriminating: provenance is current while the requested obligation is unsupported.,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-130,Evaluation design; source lines 122-122,Correctness is checked by exhaustive Boolean evaluation.,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-131,Evaluation design; source lines 122-122,"The primary endpoint is unsupported reuse, with literal reads and solver calls as resource outcomes",empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-132,Evaluation design; source lines 124-124,Certificate transport under bounded drift,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-133,Evaluation design; source lines 126-126,"A separate 60-case panel contains 20 redundant, 20 conflicting, and 20 mixed shifts.",empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-134,Evaluation design; source lines 126-126,"We compare unconditional transport, signature-equality transport, a registered local drift-bound rule, and always re-issuing.",empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-135,Evaluation design; source lines 126-126,The local rule permits transport only when the clause change satisfies the registered relation and newly added clauses are verified against the stored assignment,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-136,Evaluation design; source lines 128-128,"For redundant shifts, transport is sound",empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-137,Evaluation design; source lines 128-128,"for conflicting and mixed shifts, the registered predicate denies transport. ``Mixed'' unsoundness is a protocol judgment about changed justification, not necessarily content invalidity, and is reported separately.",empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-138,Evaluation design; source lines 128-128,"The endpoints are verifier correctness, unsound transport, needless re-issue, and literal reads.",empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-139,Evaluation design; source lines 128-128,A second implementation enumerates all satisfying assignments and recomputes every disposition,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-140,Evaluation design; source lines 130-130,Retained measurement correction,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-141,Evaluation design; source lines 132-132,"An earlier finite benchmark labeled harm as reuse of state whose certificate said ``unsupported,'' while the policy itself reused exactly when that certificate said ``supported.'' Across 3,840 enumerated points, corrupting the certificate changed the policy action on 2,304 points but never created a positive harm label.",empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-142,Evaluation design; source lines 132-132,The published zero-unsafe-reuse endpoint therefore had no independent opportunity to vary.,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-143,Evaluation design; source lines 132-132,We retain it as a measurement failure and exclude it from the evidence below,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-144,Results; source lines 136-136,Learned state is responsibility dependent,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-145,Results; source lines 138-138,Table referenced display reports cross-validated aggregate results.,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-146,Results; source lines 138-138,Parity accuracy is 0.917 for every arm because all use the same fitted parity model,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-147,Results; source lines 138-138,routing changes only the representation read.,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-148,Results; source lines 138-138,"Exact-digit accuracy from raw state is 0.970, while the hostile decoder from two parity probabilities reaches 0.238.",empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-149,Results; source lines 138-138,Responsibility-relative routing therefore matches always-raw accuracy by design while halving the reopen rate and reducing state values read by 48.44,empirical_or_finite_result,headline,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-150,Results; source lines 158-158,"The confidence threshold rejects some low-confidence parity states, but it is blind to the requested output: 1,397 of 1,797 exact-digit requests are still served from unsupported compact state.",empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-151,Results; source lines 158-158,Current provenance provides no refusal because all records are current by construction.,empirical_or_finite_result,headline,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-152,Results; source lines 158-158,These failures do not show that confidence or provenance is useless,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-153,Results; source lines 158-158,they show that neither encodes the changed responsibility in this design,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-154,Results; source lines 160-160,Exact certificate revocation after change,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-155,Results; source lines 162-162,"In the formula study, the responsibility-relative and always-raw arms are verifier-correct on all 24 old/new episodes.",empirical_or_finite_result,headline,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-156,Results; source lines 162-162,Confidence-only and provenance-only arms are correct on all 12 old episodes and fail all 12 changed episodes by reusing the stale assignment (Table referenced display).,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-157,Results; source lines 162-162,"Responsibility-relative routing reads 60 literals versus 108 for always-raw, a 44.44",empirical_or_finite_result,headline,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-158,Results; source lines 181-181,This result is stronger than the learned-data study in verification but narrower in domain.,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-159,Results; source lines 181-181,The new clause is constructed to invalidate the stored assignment.,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-160,Results; source lines 181-181,The experiment confirms the registered routing and accounting on the complete finite grid,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-161,Results; source lines 181-181,it is not evidence about the frequency of such changes in deployed systems,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-162,Results; source lines 183-183,Current provenance does not encode support,empirical_or_finite_result,headline,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-163,Results; source lines 185-185,Table referenced display reports the 48-case comparison.,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-164,Results; source lines 185-185,Both provenance-tiered arms make 12 unsupported reuses in the changed/current cell and are verifier-correct on 36 cases.,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-165,Results; source lines 185-185,"The responsibility-relative and composed arms are correct on all 48 with no unsupported reuse and average five literal reads, compared with 6.25 for the provenance-tiered arms.",empirical_or_finite_result,headline,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-166,Results; source lines 185-185,Always-raw is also correct on all cases and averages 5.5 reads,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-167,Results; source lines 205-205,The composed and responsibility-relative arms are decision-equivalent on this grid because every record has the maximum demand grade.,empirical_or_finite_result,headline,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-168,Results; source lines 205-205,"We therefore claim separation from the provenance-tiered arms, not superiority of the composed policy over responsibility-relative routing.",empirical_or_finite_result,headline,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-169,Results; source lines 205-205,The changed/current cell models a responsibility change between provenance checkpoints,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-170,Results; source lines 205-205,"it is a registered assumption, not an observation about a deployed memory system",empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-171,Results; source lines 207-207,Transport needs more than ``always'' or ``same signature'',empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-172,Results; source lines 209-209,The transport study exposes opposite errors (Table referenced display).,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-173,Results; source lines 209-209,Unconditional transport makes 40 unsound transports.,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-174,Results; source lines 209-209,Twenty are content-invalid conflicting cases; 20 mixed cases violate the registered justification predicate even when content may remain satisfying.,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-175,Results; source lines 209-209,Signature equality is verifier-correct but needlessly reissues all 20 redundant cases.,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-176,Results; source lines 209-209,The local drift-bound rule is verifier-correct on all 60 with no unsound transport and no needless reissue.,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-177,Results; source lines 209-209,"On redundant drift it reads eight literals on average, versus 12 for always reissuing",empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-178,Results; source lines 228-228,The local rule is exact only on this grid.,empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
AC-179,Results; source lines 228-228,"We do not claim uniqueness, adversarial robustness, non-monotone rewrite coverage, or transport beyond the registered clause operations",empirical_or_finite_result,supporting,One learned dataset or complete registered finite panel; no population or deployment authority.,anonymous row-level review data and standard-library independent verifier,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; narrow or remove if blind review does not find entailment
