atomic_id,location,exact_atomic_proposition,claim_class,importance,qualifiers_and_scope,dependencies_and_hidden_premises,warrant_pointer,warrant_class,evidence_resolution_status,support_or_entailment_status,strongest_alternative_or_counterexample,boundary_or_uncertainty,cross_section_locations,independent_check,status,release_action
L18,related work / references,Evidence-coverage warnings against premature stopping are prior work.,literature_fact,supporting,proposition as cited; no priority claim,,manuscript/bibliography.bib; manuscript/novelty_refresh_2026.bib; evidence/literature,source,RESOLVED,ENTAILED,source is merely topical,"metadata/status retained, including preprints where applicable",,primary-source record and bibliography identity checked 2026-08-28,VERIFIED,retain citation and bounded proposition
L19,related work / references,Conformal coverage has been applied to adaptive reasoning control.,literature_fact,supporting,proposition as cited; no priority claim,,manuscript/bibliography.bib; manuscript/novelty_refresh_2026.bib; evidence/literature,source,RESOLVED,ENTAILED,source is merely topical,"metadata/status retained, including preprints where applicable",,primary-source record and bibliography identity checked 2026-08-28,VERIFIED,retain citation and bounded proposition
L20,related work / references,Confidence/sufficiency judgments have been used for stopping.,literature_fact,supporting,proposition as cited; no priority claim,,manuscript/bibliography.bib; manuscript/novelty_refresh_2026.bib; evidence/literature,source,RESOLVED,ENTAILED,source is merely topical,"metadata/status retained, including preprints where applicable",,primary-source record and bibliography identity checked 2026-08-28,VERIFIED,retain citation and bounded proposition
L21,related work / references,Structured gap judgments have been used to decide retrieval continuation.,literature_fact,supporting,proposition as cited; no priority claim,,manuscript/bibliography.bib; manuscript/novelty_refresh_2026.bib; evidence/literature,source,RESOLVED,ENTAILED,source is merely topical,"metadata/status retained, including preprints where applicable",,primary-source record and bibliography identity checked 2026-08-28,VERIFIED,retain citation and bounded proposition
L22,related work / references,Finite obligation/certificate planning is a strong donor mechanism.,literature_fact,supporting,proposition as cited; no priority claim,,manuscript/bibliography.bib; manuscript/novelty_refresh_2026.bib; evidence/literature,source,RESOLVED,ENTAILED,source is merely topical,"metadata/status retained, including preprints where applicable",,primary-source record and bibliography identity checked 2026-08-28,VERIFIED,retain citation and bounded proposition
L23,related work / references,Evidence-bound workflow transitions are a strong donor mechanism.,literature_fact,supporting,proposition as cited; no priority claim,,manuscript/bibliography.bib; manuscript/novelty_refresh_2026.bib; evidence/literature,source,RESOLVED,ENTAILED,source is merely topical,"metadata/status retained, including preprints where applicable",,primary-source record and bibliography identity checked 2026-08-28,VERIFIED,retain citation and bounded proposition
L24,related work / references,Capture-recapture estimates require defensible capture assumptions.,literature_fact,supporting,proposition as cited; no priority claim,,manuscript/bibliography.bib; manuscript/novelty_refresh_2026.bib; evidence/literature,source,RESOLVED,ENTAILED,source is merely topical,"metadata/status retained, including preprints where applicable",,primary-source record and bibliography identity checked 2026-08-28,VERIFIED,retain citation and bounded proposition
L25,related work / references,Dependence can mislead capture-recapture estimates in evidence retrieval.,literature_fact,supporting,proposition as cited; no priority claim,,manuscript/bibliography.bib; manuscript/novelty_refresh_2026.bib; evidence/literature,source,RESOLVED,ENTAILED,source is merely topical,"metadata/status retained, including preprints where applicable",,primary-source record and bibliography identity checked 2026-08-28,VERIFIED,retain citation and bounded proposition
L26,related work / references,Information foraging models continuation versus leaving a local patch.,literature_fact,supporting,proposition as cited; no priority claim,,manuscript/bibliography.bib; manuscript/novelty_refresh_2026.bib; evidence/literature,source,RESOLVED,ENTAILED,source is merely topical,"metadata/status retained, including preprints where applicable",,primary-source record and bibliography identity checked 2026-08-28,VERIFIED,retain citation and bounded proposition
L27,related work / references,Information-foraging theory concerns local information-patch value.,literature_fact,supporting,proposition as cited; no priority claim,,manuscript/bibliography.bib; manuscript/novelty_refresh_2026.bib; evidence/literature,source,RESOLVED,ENTAILED,source is merely topical,"metadata/status retained, including preprints where applicable",,primary-source record and bibliography identity checked 2026-08-28,VERIFIED,retain citation and bounded proposition
L28,related work / references,Question-conditioned memory organization is prior work.,literature_fact,supporting,proposition as cited; no priority claim,,manuscript/bibliography.bib; manuscript/novelty_refresh_2026.bib; evidence/literature,source,RESOLVED,ENTAILED,source is merely topical,"metadata/status retained, including preprints where applicable",,primary-source record and bibliography identity checked 2026-08-28,VERIFIED,retain citation and bounded proposition
L29,related work / references,TREC-COVID defines the public COVID-19 information-retrieval evaluation used here.,literature_fact,supporting,proposition as cited; no priority claim,,manuscript/bibliography.bib; manuscript/novelty_refresh_2026.bib; evidence/literature,source,RESOLVED,ENTAILED,source is merely topical,"metadata/status retained, including preprints where applicable",,primary-source record and bibliography identity checked 2026-08-28,VERIFIED,retain citation and bounded proposition
C01,availability,"The blinded archive contains exact source, synthetic task specification, frozen summaries/protocols, protected receipts, TREC records, figure sources, regeneration code, and per-file digest/byte manifest.",availability_or_compliance,major,review package built with current bytes,,journal_package/current_revision/SUBMISSION_MANIFEST.json; journal_package/current_revision/SHA256SUMS,method_record,RESOLVED,ENTAILED,,,,independently traced to named warrant,VERIFIED,retain
C02,availability,"Third-party corpora are not redistributed; identifiers, revisions, and access/licence conditions are recorded.",availability_or_compliance,major,,,journal_package/current_revision/LICENSE_AND_THIRD_PARTY_TERMS.md,method_record,RESOLVED,ENTAILED,,,,independently traced to named warrant,VERIFIED,retain
C03,availability,"Controlled reconstruction checks 16,380 normalized records and deterministic repeats without increasing statistical authority.",availability_or_compliance,supporting,,,REPRODUCE.md; evidence/external_results/OFFLINE_390_REPRODUCTION_RECEIPT_V1.json,method_record,RESOLVED,ENTAILED,,,,independently traced to named warrant,VERIFIED,retain
C04,ethics,No new human-participant or personally identifiable records were collected; controlled/exact cases are synthetic and external studies use public benchmarks.,availability_or_compliance,major,,,manuscript/sections/availability.tex; named benchmark records,method_record,RESOLVED,ENTAILED,,,,independently traced to named warrant,VERIFIED,retain
C05,AI declaration,"OpenAI ChatGPT assisted literature search, source checking, reproducibility review, editing, and package preparation; it was not an author.",availability_or_compliance,major,statement reflects this closeout process,,user instruction; current work record,method_record,RESOLVED,ENTAILED,,,,independently traced to named warrant,VERIFIED,retain
C06,AI declaration,Human authors retain responsibility for final content.,availability_or_compliance,local,normative filing declaration,,manuscript/main.tex,not_applicable,RESOLVED,ENTAILED,,,,identified as a human filing attestation,NOT_APPLICABLE,retain; human author confirms at filing
