atomic_id,location,exact_atomic_proposition,claim_class,importance,qualifiers_and_scope,warrant_pointer,independent_check,status,release_action
AC-082,Diagnostic design; source lines 69-77,The generic comparator predicts computation whenever the base system is below target,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-083,Diagnostic design; source lines 79-79,Registered costs serve only as a prospective selector among threshold-reaching interventions.,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-084,Diagnostic design; source lines 79-79,"They are not converted into money, energy, time, or a universal utility scale.",method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-085,Diagnostic design; source lines 79-79,Section referenced section reports the physical-operation coordinates separately,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-086,Diagnostic design; source lines 81-81,Five primary task families,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-087,Diagnostic design; source lines 83-84,Digits with an inaccessible interface.,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-088,Diagnostic design; source lines 83-84,The base representation is a coordinate-wise cubic bijection of 64 standardized pixel values from the scikit-learn handwritten-digits data.,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-089,Diagnostic design; source lines 83-84,A fixed multinomial logistic model is the access class.,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-090,Diagnostic design; source lines 83-84,"The information intervention is a no-op, the accessibility intervention applies the exact cube-root inverse before the same logistic access class, and the computation intervention fits an RBF support-vector classifier to the cubic representation.",method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-091,Diagnostic design; source lines 83-84,The target accuracy is 0.965,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-092,Diagnostic design; source lines 86-87,Digits with missing information.,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-093,Diagnostic design; source lines 86-87,The base representation contains only total pixel intensity.,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-094,Diagnostic design; source lines 86-87,"The information intervention restores the 64 standardized pixels to the logistic access class, the accessibility intervention monotonically rescales the single scalar, and the computation intervention applies an RBF support-vector classifier to that scalar.",method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-095,Diagnostic design; source lines 86-87,The target accuracy is 0.95,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-096,Diagnostic design; source lines 89-89,"The digits data are divided deterministically into 1,078 training, 359 probe, and 360 protected examples, stratified over ten labels.",method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-097,Diagnostic design; source lines 89-89,Preprocessing is fitted on the training split only,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-098,Diagnostic design; source lines 91-92,Hidden-bit parity.,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-099,Diagnostic design; source lines 91-92,"The target is the parity of four bits, while the base exposes only three.",method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-100,Diagnostic design; source lines 91-92,The information intervention reveals the fourth bit,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-101,Diagnostic design; source lines 91-92,the accessibility intervention bijectively remaps the visible bits,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-102,Diagnostic design; source lines 91-92,and the computation intervention exhaustively processes only those visible bits.,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-103,Diagnostic design; source lines 91-92,The target is exact accuracy 1.0,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-104,Diagnostic design; source lines 94-95,Reversibly encoded Boolean state.,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-105,Diagnostic design; source lines 94-95,"The base exposes (a,a b) while a frozen constant-or-signed-single-coordinate readout must recover b.",method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-106,Diagnostic design; source lines 94-95,The accessibility intervention applies the exact inverse transform and projects the recovered coordinate.,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-107,Diagnostic design; source lines 94-95,The computation intervention evaluates XOR.,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-108,Diagnostic design; source lines 94-95,Both can be correct,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-109,Diagnostic design; source lines 94-95,the registered selector prefers the lower-cost accessibility repair.,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-110,Diagnostic design; source lines 94-95,The target is exact accuracy 1.0,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-111,Diagnostic design; source lines 97-98,Affine-map composition.,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-112,Diagnostic design; source lines 97-98,The base exposes an input and a chain of three one-dimensional affine maps.,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-113,Diagnostic design; source lines 97-98,Information and accessibility interventions preserve or reorder the local maps without composing them.,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-114,Diagnostic design; source lines 97-98,The computation intervention composes the maps exactly and evaluates the result.,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-115,Diagnostic design; source lines 97-98,The target is exact accuracy 1.0,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-116,Diagnostic design; source lines 100-100,The three executable families use disjoint sets of 100 development and 100 protected generator seeds per family.,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-117,Diagnostic design; source lines 100-100,The evaluator computes exact outputs.,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-118,Diagnostic design; source lines 100-100,"They are transparent discriminators, not evidence about naturalistic task prevalence",method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-119,Diagnostic design; source lines 102-102,Endpoints and interpretation,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-120,Diagnostic design; source lines 104-104,"Primary endpoints are the number of families diagnosed correctly, correct diagnoses within the three executable families, false compute escalations, target attainment after the predicted intervention when the protected disposition is actionable, and registered-cost regret relative to the protected disposition.",method,headline,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-121,Diagnostic design; source lines 104-104,"Because the five families are fixed and heterogeneous, we report descriptive counts rather than a population-level significance test",method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-122,Diagnostic design; source lines 106-106,"A false compute escalation occurs when the generic policy selects computation but the protected disposition is information, accessibility, or indeterminate.",method,headline,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-123,Diagnostic design; source lines 106-106,The last category is counted because the fixed evidence does not authorize computation as the remedy.,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-124,Diagnostic design; source lines 106-106,An indeterminate protected cell is retained in the denominator,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-125,Diagnostic design; source lines 108-108,Study chronology and secondary analyses,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-126,Diagnostic design; source lines 110-110,"The intervention meanings, split rules, targets, registered costs, endpoints, and positive criterion were fixed before the primary protected outcomes.",method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-127,Diagnostic design; source lines 110-110,Two independent implementations reproduced the five decisions.,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-128,Diagnostic design; source lines 110-110,"A later accounting audit corrected previously omitted preprocessing state, transformation work, base-readout touches, and inference work",method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-129,Diagnostic design; source lines 110-110,"it was not allowed to alter quality values, targets, costs, predictions, or protected dispositions",method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-130,Diagnostic design; source lines 112-112,Three secondary studies were defined separately.,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-131,Diagnostic design; source lines 112-112,"A five-fold real-data study compared linear access to native standardized features, a coordinate-wise cubic bijection, and its exact inverse on breast-cancer, digits, and Wine datasets.",method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-132,Diagnostic design; source lines 112-112,"A protected model-size study compared the effect of typed state against a same-information interface for quantized Qwen2.5 models at 0.5B, 1.5B, and 3B parameters [cited source].",literature_fact,supporting,Search and metadata checks are current to 2026-08-28; no priority claim is made for component ideas.,references.bib plus LIVE_LITERATURE_ENTAILMENT_AUDIT_2026-08-28.md,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-133,Diagnostic design; source lines 112-112,A post-outcome hostile audit applied bijective remintings to an earlier held-out procedural comparison.,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-134,Diagnostic design; source lines 112-112,These studies can bound the primary interpretation but cannot upgrade its five-family authority,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-135,Diagnostic design; source lines 114-114,"After the primary digit threshold failed to transport, a prospectively specified redraw-ensemble follow-up averaged each arm across 24 stratified partitions.",method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-136,Diagnostic design; source lines 114-114,We report this successor analysis only as a stability check because it failed its own predeclared half-sample stability clause,method,supporting,Method scope is limited to three registered intervention classes and five fixed families.,prospectively frozen diagnostic protocol and current reader-facing evidence table,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-137,Results; source lines 118-118,Protected diagnostic outcome,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-138,Results; source lines 120-120,Table referenced section reports all five families.,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-139,Results; source lines 120-120,The diagnostic agrees with the protected disposition in four families.,empirical_result,supporting,Fixed-family descriptive evidence; no population prevalence or universal transfer claim.,"primary diagnostic receipt, independent reproduction, and reader-facing evidence table",PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-140,Results; source lines 120-120,The generic compute-escalation policy agrees only for affine-map composition.,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-141,Results; source lines 120-120,"All actionable diagnostic selections reach the protected target, and registered-cost regret on those cells is zero",empirical_result,supporting,Fixed-family descriptive evidence; no population prevalence or universal transfer claim.,"primary diagnostic receipt, independent reproduction, and reader-facing evidence table",PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-142,Results; source lines 142-142,"The generic policy makes four false compute escalations, whereas the diagnostic makes none.",empirical_result,headline,Fixed-family descriptive evidence; no population prevalence or universal transfer claim.,"primary diagnostic receipt, independent reproduction, and reader-facing evidence table",PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-143,Results; source lines 142-142,This difference is the central result: the diagnostic does not merely choose a lower-cost arm,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-144,Results; source lines 142-142,it refuses computation when the evidence locates the constraint elsewhere or does not authorize a remedy.,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-145,Results; source lines 142-142,The executable-domain diagnoses are exact in all three families.,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-146,Results; source lines 142-142,"On the two real-digit families, one diagnosis transports and one does not",interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-147,Results; source lines 144-144,The failed digit transport is visible in the underlying levels.,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-148,Results; source lines 144-144,"The accessibility repair scores 0.9721 on the probe split, above the 0.965 target, but 0.9556 on the protected split.",empirical_result,supporting,Fixed-family descriptive evidence; no population prevalence or universal transfer claim.,"primary diagnostic receipt, independent reproduction, and reader-facing evidence table",PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-149,Results; source lines 144-144,"No protected intervention reaches the target, so the protected disposition is indeterminate.",empirical_result,supporting,Fixed-family descriptive evidence; no population prevalence or universal transfer claim.,"primary diagnostic receipt, independent reproduction, and reader-facing evidence table",PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-150,Results; source lines 144-144,Retuning the target after observing this split would change the scientific question and was not done,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-151,Results; source lines 146-147,Corrected resource accounting,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-152,Results; source lines 149-153,"For each arm we record a vector (I_sem,A_dim,A_transform,M_state,C_fit,C_infer,C_explicit), covering semantic input dimension, exposed dimension, deterministic transformation work, fitted state, fitting work, inference work, and explicit operations.",interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-153,Results; source lines 149-153,The coordinates use task-specific counts and are not scalarized.,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-154,Results; source lines 149-153,"Re-deriving every decision after charging fitted scaler state, accessibility transforms, base readout touches, and support-vector inference preserves all five primary dispositions, the four-of-five diagnostic count, and the zero-versus-four false-compute count",empirical_result,headline,Fixed-family descriptive evidence; no population prevalence or universal transfer claim.,"primary diagnostic receipt, independent reproduction, and reader-facing evidence table",PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-155,Results; source lines 155-155,The audit also prevents a misleading cost story.,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-156,Results; source lines 155-155,"In the missing-pixels digit family, restoring the full 64-pixel representation and refitting the linear model has 69,834 counted non-semantic operations, while the scalar support-vector arm has 3,230.",empirical_result,supporting,Fixed-family descriptive evidence; no population prevalence or universal transfer claim.,corrected seven-coordinate resource ledger and independent checker,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-157,Results; source lines 155-155,Thus the registered selector ranks the information intervention below computation even though this particular aggregate of physical counts ranks it above.,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-158,Results; source lines 155-155,"The registered units are a frozen decision convention, not an empirical exchange rate.",interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-159,Results; source lines 155-155,"Conversely, in the cubic-interface family the generic support-vector escalation uses 206,720 counted operations versus 69,898 for accessibility repair while still failing the target.",empirical_result,supporting,Fixed-family descriptive evidence; no population prevalence or universal transfer claim.,corrected seven-coordinate resource ledger and independent checker,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-160,Results; source lines 155-155,These two directions are both reported,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-161,Results; source lines 157-157,"Across the ten probe/protected vector comparisons, no target-reaching arm strictly dominates the selected arm on all seven coordinates.",interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-162,Results; source lines 157-157,"That statement is a finite audit of the registered families, not a general Pareto-optimality theorem",interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-163,Results; source lines 159-159,Real accessibility effects include a null,empirical_result,supporting,Fixed-family descriptive evidence; no population prevalence or universal transfer claim.,"primary diagnostic receipt, independent reproduction, and reader-facing evidence table",PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-164,Results; source lines 161-161,The five-fold accessibility study holds semantic information fixed because the cubic transform is bijective and the inverse reconstructs the standardized features to floating-point roundoff.,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-165,Results; source lines 161-161,"For breast-cancer data, mean linear accuracy is 0.98069 on the native representation and 0.94551 after the cubic transform, a gap of 0.03518",empirical_result,supporting,Fixed-family descriptive evidence; no population prevalence or universal transfer claim.,protected secondary-study receipts and execution ledger,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-166,Results; source lines 161-161,inverse repair returns to 0.98069.,empirical_result,supporting,Fixed-family descriptive evidence; no population prevalence or universal transfer claim.,protected secondary-study receipts and execution ledger,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-167,Results; source lines 161-161,"For digits, the corresponding values are 0.96995, 0.94602, and 0.96995, a gap of 0.02393.",empirical_result,supporting,Fixed-family descriptive evidence; no population prevalence or universal transfer claim.,"primary diagnostic receipt, independent reproduction, and reader-facing evidence table",PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-168,Results; source lines 161-161,Wine is a null: the preregistered native-minus-cubic mean gap is -0.00016.,empirical_result,supporting,Fixed-family descriptive evidence; no population prevalence or universal transfer claim.,protected secondary-study receipts and execution ledger,PENDING_BLIND_COVERAGE,VERIFIED,retain at current scope; revise or remove if independent check does not entail
AC-169,Results; source lines 161-161,We therefore conclude only that an information-preserving interface can be load-bearing for a fixed access class on some datasets,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
AC-170,Results; source lines 163-163,Model-size and representation attacks are adverse,interpretation,supporting,Interpretation must remain no stronger than the fixed-family outcomes and visible adverse evidence.,current manuscript evidence hierarchy,PENDING_REVIEWER_INFERENCE_CHECK,BOUNDED_INFERENCE,retain at current scope; revise or remove if independent check does not entail
